2018-03-13
team_name,avgFG,avg3,oppFG,opp3,ftPP,ft,shotsFrom2,shotsFrom3,possPG,toRate,offRebound,defRebound
COLORADO,48.8,35.8,46.6,35.7,0.333,72.9,63.4,36.6,72.0,19.6,26.9,75.9
COLORADO ST,46.4,33.0,53.7,35.8,0.338,71.9,64.8,35.2,73.5,18.4,29.6,73.8
COLUMBIA,49.9,37.2,51.6,38.4,0.245,74.0,57.1,42.9,72.9,17.5,25.2,72.4
CONNECTICUT,46.6,32.6,48.5,36.4,0.324,74.5,64.0,36.0,69.8,18.0,27.3,68.9
COPPIN STATE,41.0,30.5,48.3,33.7,0.271,73.9,52.3,47.7,72.2,20.0,19.4,69.4
CORNELL,54.0,33.4,49.9,39.3,0.351,73.1,60.7,39.3,73.6,18.1,21.8,71.3
CREIGHTON,59.3,37.6,50.1,33.2,0.271,74.9,55.3,44.7,74.7,15.2,20.1,76.9
CS BAKERSFLD,47.5,29.8,48.5,35.5,0.347,68.4,63.2,36.8,68.8,20.1,28.9,73.3
CS FULLERTON,52.2,34.3,45.2,36.2,0.46,73.7,71.6,28.4,72.1,20.1,23.2,73.6
DARTMOUTH,49.7,36.0,55.5,35.1,0.328,71.0,62.1,37.9,69.2,19.7,22.3,74.6
DAVIDSON,56.8,39.1,50.0,35.2,0.245,79.7,51.8,48.2,66.9,14.3,21.2,78.2
DAYTON,59.5,33.7,52.5,38.3,0.318,73.1,56.0,44.0,69.0,19.9,25.3,74.5
DELAWARE,50.7,32.9,51.2,37.0,0.344,65.9,68.4,31.6,68.2,15.5,24.0,74.5
DELAWARE ST,46.1,33.2,53.8,38.9,0.285,69.7,66.8,33.2,69.6,22.1,26.3,67.1
DENVER,49.2,39.5,52.0,33.6,0.328,69.8,68.4,31.6,70.8,21.3,28.5,77.1
DEPAUL,48.6,31.0,49.2,37.1,0.294,70.8,67.3,32.7,73.1,19.0,30.7,74.0
DETROIT,48.5,33.3,54.1,40.6,0.311,76.3,59.6,40.4,76.7,17.8,23.9,71.0
DRAKE,48.4,35.8,52.4,33.1,0.319,77.1,59.7,40.3,72.2,16.7,20.2,73.7
DREXEL,50.2,32.1,51.1,36.3,0.318,71.9,65.1,34.9,72.6,16.9,28.2,71.0
DUKE,55.6,37.8,44.8,32.1,0.349,70.8,64.5,35.5,73.1,17.2,37.9,74.1
DUQUESNE,47.8,35.0,51.0,33.5,0.354,68.5,60.2,39.8,69.7,17.2,31.2,73.8
E CAROLINA,49.6,30.5,50.6,35.3,0.287,66.6,65.4,34.6,71.0,20.2,26.4,68.4
E ILLINOIS,44.6,35.3,48.5,38.5,0.322,69.0,63.6,36.4,67.9,20.0,28.4,71.3
E KENTUCKY,48.2,35.1,52.9,39.8,0.334,73.8,63.6,36.4,70.9,18.7,25.1,70.0
E MICHIGAN,52.2,33.5,44.8,35.3,0.305,69.5,66.7,33.3,68.5,18.4,28.5,69.5
E TENN ST,54.8,34.7,46.4,32.0,0.331,71.3,63.5,36.5,71.0,19.3,28.4,75.1
E WASHINGTN,52.2,38.6,49.2,35.6,0.283,76.7,59.0,41.0,70.3,16.7,20.8,76.4
ELON,52.5,34.7,50.0,37.1,0.24,70.6,49.9,50.1,71.2,16.4,20.1,72.3
EVANSVILLE,44.5,39.8,48.5,34.4,0.346,78.2,72.6,27.4,67.8,20.4,20.9,76.2
F DICKINSON,49.3,33.9,50.1,36.0,0.308,72.6,66.6,33.4,72.5,18.8,28.8,66.8
FAIRFIELD,51.8,33.9,49.0,39.3,0.309,71.0,55.5,44.5,74.8,17.1,23.0,74.4
FLA ATLANTIC,42.3,31.9,49.1,32.9,0.29,73.6,71.6,28.4,72.2,17.8,26.7,74.7
FLA GULF CST,55.3,37.3,49.5,34.2,0.335,74.4,68.1,31.9,74.8,19.0,30.8,76.1
FLORIDA,47.4,37.5,46.5,35.7,0.33,71.9,59.8,40.2,70.8,13.9,27.3,72.4
FLORIDA A&AMP;M,44.8,35.1,54.4,34.8,0.321,73.2,69.0,31.0,72.6,19.0,24.1,64.2
FLORIDA INTL,47.2,31.3,50.6,33.7,0.365,61.6,67.7,32.3,73.0,15.3,24.0,73.7
FLORIDA ST,54.6,35.1,45.5,36.4,0.361,68.5,63.1,36.9,75.2,17.3,31.9,72.1
FORDHAM,52.1,28.8,52.1,35.1,0.269,70.8,53.2,46.8,68.5,18.2,16.5,68.0
