2018-03-13
team_name,avgFG,avg3,oppFG,opp3,ftPP,ft,shotsFrom2,shotsFrom3,possPG,toRate,offRebound,defRebound
PRAIRIE VIEW,49.2,32.3,54.4,33.2,0.392,66.9,63.2,36.8,74.7,18.0,29.5,69.2
PRESBYTERIAN,46.8,34.6,55.5,36.7,0.28,70.0,55.5,44.5,65.8,18.4,22.8,70.6
PRINCETON,52.1,37.3,51.2,35.9,0.262,71.3,53.7,46.3,69.3,16.2,20.3,77.1
PROVIDENCE,49.5,33.3,51.3,32.1,0.392,70.3,67.0,33.0,72.5,17.2,26.2,72.9
PURDUE,54.9,42.0,44.9,33.7,0.361,74.3,59.8,40.2,70.0,15.3,25.9,74.3
QUINNIPIAC,49.8,33.9,50.2,39.6,0.37,70.6,52.1,47.9,71.2,19.0,25.8,72.9
RADFORD,47.3,35.1,48.4,34.2,0.316,73.3,60.2,39.8,66.0,18.1,30.5,73.9
RHODE ISLAND,51.0,35.0,50.3,33.1,0.305,70.7,68.2,31.8,70.8,15.1,29.8,74.6
RICE,47.9,32.1,51.7,35.8,0.351,65.8,52.8,47.2,71.5,20.4,26.4,72.8
RICHMOND,53.2,33.4,55.3,37.2,0.297,71.5,63.7,36.3,69.9,16.7,21.6,72.6
RIDER,51.9,36.1,50.1,36.6,0.429,60.7,66.0,34.0,76.6,17.4,32.2,74.1
ROB MORRIS,45.9,33.2,51.1,32.8,0.343,66.7,62.3,37.7,72.7,20.4,29.3,70.3
RUTGERS,43.4,29.5,47.6,32.5,0.304,65.2,75.6,24.4,68.9,16.8,32.3,73.2
S ALABAMA,48.3,32.3,47.9,30.9,0.377,70.2,55.9,44.1,73.2,20.3,21.6,72.4
S CAR STATE,45.7,32.7,57.8,36.3,0.359,69.9,68.6,31.4,75.1,18.1,27.5,68.8
S CAROLINA,43.6,33.7,48.7,33.5,0.427,70.0,62.4,37.6,71.8,19.3,31.4,74.7
S DAKOTA ST,51.2,39.2,49.8,33.8,0.358,76.4,56.5,43.5,74.4,13.6,22.7,79.3
S FLORIDA,44.8,36.1,52.0,33.0,0.331,72.3,66.1,33.9,67.4,20.8,26.5,70.6
S ILLINOIS,51.5,35.7,50.9,33.3,0.324,69.8,67.0,33.0,69.5,18.3,23.7,74.1
S METHODIST,48.7,37.9,48.6,33.8,0.305,68.6,59.6,40.4,65.8,17.6,31.3,69.9
S MISSISSIPPI,49.8,34.1,55.1,38.1,0.283,70.5,61.2,38.8,68.1,14.4,19.1,72.1
S UTAH,48.2,36.1,53.2,38.2,0.359,73.6,62.6,37.4,74.7,17.1,20.5,75.8
SAC STATE,47.7,34.6,50.9,37.2,0.278,68.6,67.9,32.1,68.9,17.4,22.5,72.5
SACRED HRT,50.3,29.9,50.9,33.9,0.3,67.0,67.0,33.0,70.9,21.1,31.7,79.6
SAINT LOUIS,46.6,32.0,47.7,34.8,0.458,65.2,66.9,33.1,66.6,19.0,31.9,75.6
SAM HOUS ST,47.4,33.5,53.3,31.9,0.335,71.8,64.7,35.3,69.8,18.6,30.4,73.1
SAMFORD,53.3,37.2,58.3,38.0,0.308,77.2,57.3,42.7,72.8,18.7,21.7,66.1
SAN DIEGO,51.6,36.2,46.1,30.8,0.401,71.5,54.6,45.4,69.0,18.8,19.8,76.6
SAN DIEGO ST,52.3,34.3,48.3,33.1,0.343,72.2,63.9,36.1,71.6,16.7,30.0,76.0
SAN FRANSCO,48.6,33.5,49.0,34.3,0.29,68.5,57.5,42.5,68.7,17.3,25.9,76.5
SAN JOSE ST,46.2,36.2,53.3,35.4,0.342,68.9,69.9,30.1,70.7,23.1,26.4,76.6
SANTA CLARA,47.1,33.8,55.1,40.0,0.302,71.4,59.1,40.9,65.9,17.0,22.6,75.3
SAVANNAH ST,51.5,30.2,58.0,36.2,0.293,69.5,44.6,55.4,86.4,16.3,24.5,64.8
SC UPSTATE,49.3,34.1,56.7,43.1,0.216,73.1,53.8,46.2,73.0,15.9,25.9,69.6
SE LOUISIANA,50.9,35.4,48.1,33.7,0.36,64.9,63.3,36.7,69.7,19.3,28.5,68.8
SE MISSOURI,50.7,39.3,54.1,37.9,0.377,72.4,56.6,43.4,70.7,17.8,24.9,71.1
SEATTLE,47.3,37.1,44.4,34.9,0.347,73.4,57.5,42.5,71.5,19.3,28.0,74.9
SETON HALL,52.0,36.4,49.8,33.4,0.346,69.3,67.2,32.8,73.1,17.5,32.3,74.1
SIENA,44.7,36.7,50.1,34.9,0.364,67.8,66.5,33.5,71.2,21.2,29.6,73.8
SIU EDWARD,47.2,32.4,53.5,36.8,0.33,70.7,62.8,37.2,72.3,18.9,25.8,72.0
SOUTH DAKOTA,51.9,36.0,47.2,33.3,0.354,75.5,68.4,31.6,73.4,15.5,26.5,73.8
SOUTHERN,42.3,33.2,47.0,34.5,0.415,68.6,72.8,27.2,71.4,18.8,31.4,71.9
ST BONAVENT,48.6,39.8,49.6,32.1,0.399,75.4,66.3,33.7,72.0,15.9,29.0,73.7
ST FRAN (NY),46.4,34.6,54.1,34.1,0.304,71.4,57.8,42.2,72.8,17.3,23.7,69.9
ST FRAN (PA),52.3,36.8,53.5,35.3,0.336,77.2,63.3,36.7,72.6,16.2,23.3,70.4
ST JOHNS,48.8,33.3,46.0,37.4,0.304,74.3,64.6,35.4,74.0,16.1,22.6,71.4
ST JOSEPHS,47.7,33.7,48.9,33.7,0.346,68.7,61.3,38.7,73.0,13.7,21.6,76.3
ST MARYS,57.4,40.4,49.0,32.3,0.312,77.5,64.9,35.1,65.5,14.8,26.6,79.5
ST PETERS,48.1,33.7,47.8,32.9,0.277,72.1,57.4,42.6,67.9,19.1,25.5,73.1
STANFORD,50.5,37.5,48.1,35.4,0.418,68.8,68.3,31.7,74.0,20.1,29.5,74.5
STE F AUSTIN,52.0,37.4,47.1,35.9,0.4,70.1,67.6,32.4,74.2,20.3,31.6,73.2
STETSON,48.7,32.9,53.6,37.4,0.25,68.3,65.2,34.8,74.4,14.7,21.4,73.9
STONY BROOK,47.5,32.2,49.1,35.3,0.32,65.7,59.2,40.8,71.5,19.5,27.5,74.2
SYRACUSE,46.7,32.1,44.8,32.8,0.402,74.0,66.5,33.5,67.4,18.6,33.4,73.1
TEMPLE,47.1,35.4,50.9,32.4,0.256,69.1,60.9,39.1,69.7,15.5,25.6,69.2
TENNESSEE,47.0,38.4,46.1,31.9,0.365,75.6,64.4,35.6,69.7,17.5,31.7,71.3
TEXAS,51.4,31.5,47.1,33.0,0.332,66.8,61.8,38.2,70.6,16.7,28.2,72.7
TEXAS A&AMP;M,52.1,32.7,45.1,32.4,0.32,66.7,66.8,33.2,72.3,18.8,33.0,73.9
TEXAS STATE,48.4,33.1,53.1,33.0,0.363,67.6,62.7,37.3,66.6,20.4,30.0,74.6
TEXAS TECH,51.5,36.6,45.1,32.8,0.403,70.1,65.9,34.1,70.5,17.7,32.2,74.7
TN MARTIN,50.7,32.2,48.9,35.1,0.241,72.5,63.9,36.1,69.6,21.1,26.4,70.1
TN STATE,48.1,34.0,51.3,36.1,0.378,74.3,58.6,41.4,69.1,21.4,22.7,73.5
TN TECH,47.5,34.5,51.6,33.4,0.377,68.1,64.1,35.9,73.5,19.4,26.2,71.9
TOLEDO,51.4,40.6,48.5,34.4,0.371,73.8,58.3,41.7,71.1,16.3,25.8,73.9
TOWSON,51.1,35.3,49.4,35.0,0.354,68.8,69.7,30.3,71.7,17.8,32.0,74.7
TROY,52.1,33.7,49.7,34.0,0.336,73.3,54.7,45.3,71.3,17.7,25.4,72.3
TULANE,50.9,35.0,49.8,34.5,0.345,71.3,62.7,37.3,72.0,18.3,25.0,72.1
TULSA,49.7,34.7,47.9,34.4,0.416,72.5,58.9,41.1,70.9,18.1,29.6,73.0
TX A&AMP;M-CC,46.7,34.4,51.6,35.5,0.37,72.4,71.9,28.1,71.9,22.5,27.2,72.5
TX CHRISTIAN,55.2,40.0,50.5,37.9,0.341,70.8,64.8,35.2,73.1,17.4,32.6,76.3
TX EL PASO,49.0,33.1,48.8,35.3,0.309,66.9,61.4,38.6,70.1,17.5,17.7,73.6
TX SOUTHERN,48.7,36.3,49.5,37.1,0.432,71.9,63.2,36.8,74.9,16.8,25.7,69.9
TX-ARLINGTON,51.0,36.5,47.9,33.9,0.348,68.8,60.1,39.9,75.6,19.7,29.5,74.1
TX-PAN AM,44.1,30.3,49.9,36.4,0.415,73.7,68.3,31.7,78.2,17.3,25.7,71.5
TX-SAN ANT,48.9,35.6,48.2,34.8,0.291,68.6,55.5,44.5,74.3,16.9,25.2,73.9
U MASS,47.9,40.0,51.2,34.7,0.251,74.6,61.8,38.2,70.1,18.2,25.3,71.7
U PENN,53.7,34.7,48.1,29.7,0.336,66.3,58.3,41.7,73.1,16.4,22.3,78.3
UAB,55.9,34.8,49.1,35.0,0.283,74.5,66.5,33.5,71.2,18.6,29.2,77.6
UC DAVIS,50.9,36.8,48.8,33.4,0.392,72.0,68.2,31.8,70.7,18.3,22.1,72.5
UC IRVINE,47.5,33.0,42.9,32.8,0.282,71.1,68.0,32.0,70.0,20.1,31.6,77.0
UC RIVERSIDE,44.1,31.3,48.6,33.3,0.323,71.0,66.4,33.6,71.1,19.5,24.0,70.2
UCLA,51.3,38.3,47.4,34.9,0.359,72.2,60.1,39.9,74.4,15.9,27.9,74.6
UCSB,50.5,38.3,48.9,34.4,0.32,70.1,63.9,36.1,69.1,14.7,27.3,75.2
UMKC,45.6,33.5,51.7,36.0,0.344,71.4,53.8,46.2,73.1,17.8,18.4,67.9
UNLV,54.8,33.4,46.7,35.2,0.434,70.5,72.3,27.7,76.5,18.7,34.0,72.0
USC,52.2,37.5,49.6,34.8,0.298,72.2,63.8,36.2,70.4,15.0,28.4,73.3
UTAH,53.2,36.6,46.6,34.0,0.349,76.0,54.4,45.6,69.3,17.3,22.9,73.1
UTAH STATE,52.5,36.0,50.7,36.0,0.332,70.3,54.2,45.8,70.3,18.5,23.8,75.5
UTAH VAL ST,51.8,38.6,47.4,33.3,0.395,73.9,63.3,36.7,71.5,19.4,28.7,73.9
VA MILITARY,43.7,32.3,52.1,34.6,0.277,73.8,58.7,41.3,71.6,20.9,23.6,71.4
VA TECH,57.3,38.5,48.6,34.5,0.365,71.0,59.9,40.1,71.8,16.6,21.9,72.1
VALPARAISO,50.5,34.1,48.6,32.2,0.367,71.2,63.9,36.1,70.9,20.8,25.2,73.3
VANDERBILT,50.8,35.3,50.7,37.4,0.362,74.3,53.9,46.1,68.6,17.3,26.1,74.3
VCU,52.4,35.2,50.8,35.1,0.281,69.1,61.4,38.6,73.5,18.4,26.8,74.2
VERMONT,53.8,40.3,49.1,34.2,0.427,75.2,63.8,36.2,66.0,16.7,24.1,79.1
VILLANOVA,59.7,39.8,49.3,32.8,0.286,77.1,53.4,46.6,72.7,14.2,27.5,77.2
VIRGINIA,50.0,39.0,42.4,30.3,0.248,75.8,65.2,34.8,62.1,13.8,25.3,76.2
W CAROLINA,45.3,33.0,54.3,36.3,0.318,70.0,62.7,37.3,72.2,21.2,28.0,69.3
W ILLINOIS,48.6,34.9,48.9,36.6,0.283,72.9,65.6,34.4,71.4,18.3,15.9,74.9
W KENTUCKY,54.6,35.9,46.7,36.2,0.41,70.7,73.1,26.9,71.6,16.5,26.3,72.6
W MICHIGAN,48.0,34.5,52.5,37.6,0.341,72.4,64.4,35.6,71.0,15.2,28.2,75.6
W VIRGINIA,48.5,35.3,45.6,37.4,0.312,76.6,61.1,38.9,72.2,15.7,34.6,71.4
WAGNER,47.4,36.7,45.4,35.8,0.347,70.3,60.9,39.1,71.2,19.2,33.7,74.7
WAKE FOREST,47.4,37.4,48.1,37.7,0.319,73.8,64.7,35.3,71.2,18.5,29.3,74.3
WASH STATE,51.7,37.7,54.2,34.9,0.247,73.6,49.6,50.4,71.6,19.0,21.6,70.9
WASHINGTON,51.3,34.1,51.0,33.1,0.371,70.4,66.2,33.8,72.9,18.3,27.6,69.4
WEBER STATE,52.5,41.0,49.2,34.7,0.35,76.4,61.1,38.9,71.3,17.2,17.3,74.6
WI-GRN BAY,44.7,36.2,51.7,33.1,0.323,75.2,59.3,40.7,76.2,18.1,22.3,70.8
WI-MILWKEE,50.9,33.9,46.5,37.4,0.277,66.9,62.9,37.1,69.1,17.8,23.3,77.6
WICHITA ST,53.8,38.5,45.8,36.3,0.351,73.8,61.0,39.0,72.3,16.0,33.4,80.2
WINTHROP,54.8,36.5,48.1,34.9,0.359,72.5,56.6,43.4,72.9,19.3,25.3,76.0
WISCONSIN,51.2,33.5,50.6,35.0,0.327,69.9,63.6,36.4,64.8,16.5,26.8,74.3
WM &AMP; MARY,56.6,42.2,57.2,37.4,0.334,81.1,56.7,43.3,73.0,17.0,19.8,75.9
WOFFORD,50.6,39.9,52.3,35.9,0.287,77.8,54.8,45.2,68.2,18.1,23.2,74.5
WRIGHT STATE,48.0,34.0,45.6,34.9,0.36,71.9,65.0,35.0,71.6,18.3,27.2,77.0
WYOMING,52.7,34.2,48.6,37.0,0.412,73.6,55.1,44.9,78.9,17.2,16.7,76.7
XAVIER,55.9,36.9,50.0,33.4,0.402,79.0,64.0,36.0,74.1,16.8,27.9,78.4
YALE,55.3,32.8,53.4,33.7,0.31,72.5,57.4,42.6,71.7,18.5,24.0,74.8
YOUNGS ST,46.5,33.2,57.4,40.8,0.284,63.1,65.9,34.1,75.4,18.9,32.4,72.7
